lambda,mse_bifurcation,pce_bifurcation
0.0,0.9042523222073029,0.0
0.01,0.7734230523216354,0.0
0.05,0.8770591590611269,0.0
0.1,0.7652723562016566,0.0
0.5,0.7747155938804875,0.0
1.0,0.8329405357216,0.0
